#Home,W/L,Points,Visitor,Points,Diff
WKW,W,900.0,TR,51.0,849.0
WKW,W,669.0,RSST,435.0,234.0
WKW,W,638.0,CH,510.0,128.0
WKW,W,626.0,HC,522.0,104.0
HC,W,837.0,TR,64.0,773.0
HC,W,633.0,RSST,491.0,142.0
HC,W,606.5,CH,535.5,71.0
HC,L,522.0,WKW,626.0,-104.0
CH,W,894.5,TR,58.5,836.0
CH,W,598.0,RSST,514.0,84.0
CH,L,535.5,HC,606.5,-71.0
CH,L,510.0,WKW,638.0,-128.0
RSST,W,805.0,TR,56.0,749.0
RSST,L,514.0,CH,598.0,-84.0
RSST,L,491.0,HC,633.0,-142.0
RSST,L,435.0,WKW,669.0,-234.0
TR,L,56.0,RSST,805.0,-749.0
TR,L,64.0,HC,837.0,-773.0
TR,L,58.5,CH,894.5,-836.0
TR,L,51.0,WKW,900.0,-849.0
