Home,W/L,Points,Visitor,Points,Diff
WKW,W,548.0,TR,40.0,508.0
WKW,W,493.0,WRST,128.0,365.0
WKW,W,473.0,RMR,159.0,314.0
WKW,W,451.0,HHCC,169.0,282.0
WKW,W,444.0,PVYA,175.0,269.0
WKW,W,437.0,VOU,177.0,260.0
WKW,W,445.0,DB,179.0,266.0
WKW,W,426.0,BAR,203.0,223.0
WKW,W,432.0,LDL,206.0,226.0
WKW,W,413.5,RSST,207.5,206.0
WKW,W,405.0,LL,214.0,191.0
WKW,W,408.0,VOUBC,227.0,181.0
WKW,W,388.0,SR,239.0,149.0
WKW,W,351.0,CH,272.0,79.0
WKW,W,354.0,FCY,282.0,72.0
WKW,W,324.0,HC,312.0,12.0
HC,W,512.0,TR,55.0,457.0
HC,W,451.0,WRST,179.0,272.0
HC,W,413.0,DB,194.0,219.0
HC,W,409.0,HHCC,211.0,198.0
HC,W,412.0,PVYA,213.0,199.0
HC,W,408.0,BAR,222.0,186.0
HC,W,407.0,RMR,229.0,178.0
HC,W,389.0,VOU,232.0,157.0
HC,W,386.0,VOUBC,238.0,148.0
HC,W,372.0,LL,245.0,127.0
HC,W,387.0,LDL,246.0,141.0
HC,W,358.0,SR,263.0,95.0
HC,W,368.0,RSST,268.0,100.0
HC,W,352.0,FCY,283.0,69.0
HC,W,335.0,CH,297.0,38.0
HC,L,312.0,WKW,324.0,-12.0
CH,W,537.0,TR,48.0,489.0
CH,W,467.0,WRST,142.0,325.0
CH,W,431.0,VOU,179.0,252.0
CH,W,435.0,HHCC,187.0,248.0
CH,W,425.0,PVYA,189.0,236.0
CH,W,428.0,RMR,194.0,234.0
CH,W,430.0,DB,199.0,231.0
CH,W,399.0,BAR,229.0,170.0
CH,W,375.0,LL,235.0,140.0
CH,W,366.0,RSST,254.0,112.0
CH,W,367.0,LDL,265.0,102.0
CH,W,372.0,VOUBC,269.0,103.0
CH,W,352.0,SR,277.0,75.0
CH,W,321.0,FCY,304.0,17.0
CH,L,297.0,HC,335.0,-38.0
CH,L,272.0,WKW,351.0,-79.0
FCY,W,579.0,TR,34.0,545.0
FCY,W,499.0,WRST,125.0,374.0
FCY,W,478.5,HHCC,159.5,319.0
FCY,W,461.0,RMR,169.0,292.0
FCY,W,445.0,VOU,185.0,260.0
FCY,W,434.0,PVYA,199.0,235.0
FCY,W,432.0,DB,200.0,232.0
FCY,W,397.0,BAR,236.0,161.0
FCY,W,399.0,RSST,238.0,161.0
FCY,W,386.0,LDL,246.0,140.0
FCY,W,395.0,VOUBC,246.0,149.0
FCY,W,360.0,LL,264.0,96.0
FCY,W,361.0,SR,280.0,81.0
FCY,L,304.0,CH,321.0,-17.0
FCY,L,283.0,HC,352.0,-69.0
FCY,L,282.0,WKW,354.0,-72.0
RSST,W,530.0,TR,44.0,486.0
RSST,W,438.0,WRST,178.0,260.0
RSST,W,404.0,HHCC,216.0,188.0
RSST,W,399.0,DB,219.0,180.0
RSST,W,380.0,PVYA,235.0,145.0
RSST,W,367.0,VOU,243.0,124.0
RSST,W,379.0,RMR,251.0,128.0
RSST,W,360.0,BAR,267.0,93.0
RSST,W,342.0,SR,281.0,61.0
RSST,W,327.0,LL,289.0,38.0
RSST,W,330.0,LDL,299.0,31.0
RSST,L,308.0,VOUBC,326.0,-18.0
RSST,L,254.0,CH,366.0,-112.0
RSST,L,268.0,HC,368.0,-100.0
RSST,L,238.0,FCY,399.0,-161.0
RSST,L,207.5,WKW,413.5,-206.0
SR,W,526.0,TR,51.0,475.0
SR,W,426.0,WRST,200.0,226.0
SR,W,379.0,DB,221.0,158.0
SR,W,388.0,VOU,236.0,152.0
SR,W,383.0,HHCC,238.0,145.0
SR,W,369.0,PVYA,241.0,128.0
SR,W,366.0,RMR,264.0,102.0
SR,W,345.0,BAR,286.0,59.0
SR,W,316.0,LL,298.0,18.0
SR,W,326.0,VOUBC,306.0,20.0
SR,W,322.0,LDL,312.0,10.0
SR,L,281.0,RSST,342.0,-61.0
SR,L,277.0,CH,352.0,-75.0
SR,L,263.0,HC,358.0,-95.0
SR,L,280.0,FCY,361.0,-81.0
SR,L,239.0,WKW,388.0,-149.0
LL,W,488.0,TR,57.0,431.0
LL,W,395.0,WRST,207.0,188.0
LL,W,393.0,VOU,208.0,185.0
LL,W,376.0,DB,216.0,160.0
LL,W,366.0,HHCC,231.0,135.0
LL,W,356.0,PVYA,243.0,113.0
LL,W,361.0,RMR,247.0,114.0
LL,W,330.0,BAR,274.0,56.0
LL,W,334.0,LDL,286.0,48.0
LL,W,326.0,VOUBC,302.0,24.0
LL,L,298.0,SR,316.0,-18.0
LL,L,289.0,RSST,327.0,-38.0
LL,L,264.0,FCY,360.0,-96.0
LL,L,245.0,HC,372.0,-127.0
LL,L,235.0,CH,375.0,-140.0
LL,L,214.0,WKW,405.0,-191.0
VOUBC,W,495.0,TR,47.0,448.0
VOUBC,W,419.0,WRST,213.0,206.0
VOUBC,W,395.0,HHCC,224.0,171.0
VOUBC,W,357.0,VOU,244.0,113.0
VOUBC,W,367.0,RMR,270.0,97.0
VOUBC,W,353.0,PVYA,275.0,78.0
VOUBC,W,338.0,DB,285.0,53.0
VOUBC,W,326.0,RSST,308.0,18.0
VOUBC,W,320.5,LDL,318.5,2.0
VOUBC,L,302.0,LL,326.0,-24.0
VOUBC,L,306.0,SR,326.0,-20.0
VOUBC,L,297.0,BAR,329.0,-32.0
VOUBC,L,269.0,CH,372.0,-103.0
VOUBC,L,238.0,HC,386.0,-148.0
VOUBC,L,246.0,FCY,395.0,-149.0
VOUBC,L,227.0,WKW,408.0,-181.0
BAR,W,521.0,TR,63.0,458.0
BAR,W,432.0,WRST,189.0,243.0
BAR,W,388.0,DB,226.0,162.0
BAR,W,388.0,VOU,234.0,154.0
BAR,W,371.0,HHCC,245.0,126.0
BAR,W,372.0,RMR,256.0,116.0
BAR,W,356.0,PVYA,271.0,85.0
BAR,W,329.0,VOUBC,297.0,32.0
BAR,L,274.0,LL,330.0,-56.0
