Home,W/L,Points,Visitor,Points,Diff
WKW,W,900.0,TR,51.0,849.0
WKW,W,816.0,PVYA,269.0,547.0
WKW,W,779.0,HHCC,272.0,507.0
WKW,W,781.0,DB,276.0,505.0
WKW,W,771.0,VOU,288.0,483.0
WKW,W,817.0,WRST,314.0,503.0
WKW,W,739.0,SR,332.0,407.0
WKW,W,758.0,LDL,358.0,400.0
WKW,W,794.0,RMR,362.0,432.0
WKW,W,757.0,BAR,374.0,383.0
WKW,W,731.0,LL,390.0,341.0
WKW,W,698.0,VOUBC,412.0,286.0
WKW,W,669.0,RSST,435.0,234.0
WKW,W,664.0,FCY,497.0,167.0
WKW,W,638.0,CH,510.0,128.0
WKW,W,626.0,HC,522.0,104.0
HC,W,837.0,TR,64.0,773.0
HC,W,747.0,HHCC,317.0,430.0
HC,W,721.0,DB,337.0,384.0
HC,W,718.0,VOU,340.0,378.0
HC,W,734.0,PVYA,361.0,373.0
HC,W,755.0,WRST,368.0,387.0
HC,W,702.0,LDL,394.0,308.0
HC,W,693.0,SR,408.0,285.0
HC,W,698.0,BAR,409.0,289.0
HC,W,727.0,RMR,422.0,305.0
HC,W,669.0,LL,435.0,234.0
HC,W,673.0,VOUBC,441.0,232.0
HC,W,633.0,RSST,491.0,142.0
HC,W,611.0,FCY,533.0,78.0
HC,W,606.5,CH,535.5,71.0
HC,L,522.0,WKW,626.0,-104.0
CH,W,894.5,TR,58.5,836.0
CH,W,777.0,HHCC,293.0,484.0
CH,W,755.0,DB,304.0,451.0
CH,W,761.0,VOU,313.0,448.0
CH,W,756.0,PVYA,334.0,422.0
CH,W,788.0,WRST,340.0,448.0
CH,W,688.0,SR,398.0,290.0
CH,W,683.0,LDL,407.0,276.0
CH,W,713.0,BAR,410.0,303.0
CH,W,734.0,RMR,421.0,313.0
CH,W,678.0,LL,429.0,249.0
CH,W,684.0,VOUBC,429.0,255.0
CH,W,598.0,RSST,514.0,84.0
CH,W,607.0,FCY,543.0,64.0
CH,L,535.5,HC,606.5,-71.0
CH,L,510.0,WKW,638.0,-128.0
FCY,W,930.0,TR,60.0,870.0
FCY,W,764.0,HHCC,324.0,440.0
FCY,W,753.5,VOU,332.5,421.0
FCY,W,762.0,PVYA,343.0,419.0
FCY,W,742.0,DB,347.0,395.0
FCY,W,779.0,WRST,351.0,428.0
FCY,W,760.0,RMR,387.0,373.0
FCY,W,701.5,BAR,433.5,268.0
FCY,W,666.0,LL,442.0,224.0
FCY,W,685.0,LDL,448.0,237.0
FCY,W,686.0,SR,451.0,235.0
FCY,W,657.0,VOUBC,495.0,162.0
FCY,W,618.0,RSST,511.0,107.0
FCY,L,543.0,CH,607.0,-64.0
FCY,L,533.0,HC,611.0,-78.0
FCY,L,497.0,WKW,664.0,-167.0
RSST,W,805.0,TR,56.0,749.0
RSST,W,692.0,HHCC,307.0,385.0
RSST,W,677.0,DB,313.0,364.0
RSST,W,703.0,VOU,314.0,389.0
RSST,W,720.0,PVYA,326.0,394.0
RSST,W,723.0,WRST,362.0,361.0
RSST,W,649.0,SR,388.0,261.0
RSST,W,658.0,LDL,402.0,256.0
RSST,W,693.0,RMR,433.0,260.0
RSST,W,674.0,BAR,438.0,236.0
RSST,W,626.0,LL,453.0,173.0
RSST,W,590.0,VOUBC,480.0,110.0
RSST,L,514.0,CH,598.0,-84.0
RSST,L,511.0,FCY,618.0,-107.0
RSST,L,491.0,HC,633.0,-142.0
RSST,L,435.0,WKW,669.0,-234.0
LL,W,810.0,TR,74.0,736.0
LL,W,637.0,DB,359.0,278.0
LL,W,632.0,VOU,371.0,261.0
LL,W,630.0,HHCC,373.0,257.0
LL,W,630.0,PVYA,399.0,231.0
LL,W,615.0,WRST,457.0,158.0
LL,W,611.0,RMR,491.0,120.0
LL,W,573.0,SR,498.0,75.0
LL,W,554.0,LDL,500.0,54.0
LL,W,555.0,BAR,518.0,37.0
LL,W,548.0,VOUBC,533.0,15.0
LL,L,453.0,RSST,626.0,-173.0
LL,L,442.0,FCY,666.0,-224.0
LL,L,435.0,HC,669.0,-234.0
LL,L,429.0,CH,678.0,-249.0
LL,L,390.0,WKW,731.0,-341.0
BAR,W,829.0,TR,74.0,755.0
BAR,W,659.3,DB,362.6,296.69999999999993
BAR,W,639.0,VOU,385.0,254.0
BAR,W,653.0,HHCC,389.0,264.0
BAR,W,659.0,PVYA,405.0,254.0
BAR,W,660.0,WRST,449.0,211.0
BAR,W,560.5,LDL,506.5,54.0
BAR,W,560.0,SR,513.0,47.0
BAR,W,609.0,RMR,514.0,95.0
BAR,W,576.0,VOUBC,534.0,42.0
BAR,L,518.0,LL,555.0,-37.0
BAR,L,438.0,RSST,674.0,-236.0
BAR,L,409.0,HC,698.0,-289.0
BAR,L,433.5,FCY,701.5,-268.0
BAR,L,410.0,CH,713.0,-303.0
BAR,L,374.0,WKW,757.0,-383.0
VOUBC,W,766.0,TR,66.0,700.0
VOUBC,W,644.0,HHCC,363.0,281.0
VOUBC,W,599.0,DB,407.0,192.0
VOUBC,W,599.0,VOU,411.0,188.0
VOUBC,W,603.0,PVYA,443.0,160.0
VOUBC,W,636.0,WRST,455.0,181.0
VOUBC,W,553.0,SR,483.0,70.0
VOUBC,W,526.5,LDL,514.5,12.0
VOUBC,W,613.0,RMR,541.0,72.0
VOUBC,L,533.0,LL,548.0,-15.0
VOUBC,L,534.0,BAR,576.0,-42.0
VOUBC,L,480.0,RSST,590.0,-110.0
VOUBC,L,495.0,FCY,657.0,-162.0
VOUBC,L,441.0,HC,673.0,-232.0
VOUBC,L,429.0,CH,684.0,-255.0
VOUBC,L,412.0,WKW,698.0,-286.0
LDL,W,737.0,TR,71.0,666.0
LDL,W,583.0,DB,388.0,195.0
LDL,W,592.0,HHCC,398.0,194.0
LDL,W,593.0,VOU,406.0,187.0
LDL,W,597.0,PVYA,419.0,178.0
LDL,W,613.0,WRST,457.0,156.0
LDL,W,536.0,SR,492.0,44.0
LDL,L,514.5,VOUBC,526.5,-12.0
LDL,W,582.0,RMR,531.0,51.0
LDL,L,500.0,LL,554.0,-54.0
LDL,L,506.5,BAR,560.5,-54.0
LDL,L,402.0,RSST,658.0,-256.0
LDL,L,407.0,CH,683.0,-276.0
LDL,L,448.0,FCY,685.0,-237.0
LDL,L,394.0,HC,702.0,-308.0
LDL,L,358.0,WKW,758.0,-400.0
SR,W,749.0,TR,72.0,677.0
SR,W,582.5,HHCC,385.5,197.0
SR,W,574.0,DB,387.0,187.0
SR,W,561.5,VOU,411.5,150.0
SR,W,577.0,PVYA,434.0,143.0
SR,W,605.0,WRST,466.0,139.0
SR,L,492.0,LDL,536.0,-44.0
SR,L,483.0,VOUBC,553.0,-70.0
SR,L,513.0,BAR,560.0,-47.0
SR,W,563.0,RMR,561.0,2.0
SR,L,498.0,LL,573.0,-75.0
SR,L,388.0,RSST,649.0,-261.0
SR,L,451.0,FCY,686.0,-235.0
SR,L,398.0,CH,688.0,-290.0
SR,L,408.0,HC,693.0,-285.0
SR,L,332.0,WKW,739.0,-407.0
RMR,W,902.0,TR,91.0,811.0
RMR,W,644.0,HHCC,435.0,209.0
RMR,W,645.0,VOU,435.0,210.0
RMR,W,644.0,DB,445.0,199.0
RMR,W,648.0,PVYA,449.0,199.0
RMR,W,638.0,WRST,501.0,137.0
RMR,L,561.0,SR,563.0,-2.0
RMR,L,531.0,LDL,582.0,-51.0
RMR,L,514.0,BAR,609.0,-95.0
RMR,L,491.0,LL,611.0,-120.0
RMR,L,541.0,VOUBC,613.0,-72.0
RMR,L,433.0,RSST,693.0,-260.0
RMR,L,422.0,HC,727.0,-305.0
RMR,L,421.0,CH,734.0,-313.0
RMR,L,387.0,FCY,760.0,-373.0
RMR,L,362.0,WKW,794.0,-432.0
WRST,W,809.0,TR,76.0,733.0
WRST,W,609.0,HHCC,414.0,195.0
WRST,W,552.0,DB,457.0,95.0
WRST,W,576.0,VOU,466.0,110.0
WRST,W,566.0,PVYA,479.0,87.0
WRST,L,466.0,SR,605.0,-139.0
WRST,L,457.0,LDL,613.0,-156.0
WRST,L,457.0,LL,615.0,-158.0
WRST,L,455.0,VOUBC,636.0,-181.0
WRST,L,501.0,RMR,638.0,-137.0
WRST,L,449.0,BAR,660.0,-211.0
WRST,L,362.0,RSST,723.0,-361.0
WRST,L,368.0,HC,755.0,-387.0
WRST,L,351.0,FCY,779.0,-428.0
WRST,L,340.0,CH,788.0,-448.0
WRST,L,314.0,WKW,817.0,-503.0
PVYA,W,656.0,TR,114.0,542.0
PVYA,W,498.0,HHCC,453.0,45.0
PVYA,W,486.5,VOU,458.5,28.0
PVYA,W,480.0,DB,466.0,14.0
PVYA,L,479.0,WRST,566.0,-87.0
PVYA,L,434.0,SR,577.0,-143.0
PVYA,L,419.0,LDL,597.0,-178.0
PVYA,L,443.0,VOUBC,603.0,-160.0
PVYA,L,399.0,LL,630.0,-231.0
PVYA,L,449.0,RMR,648.0,-199.0
PVYA,L,405.0,BAR,659.0,-254.0
PVYA,L,326.0,RSST,720.0,-394.0
PVYA,L,361.0,HC,734.0,-373.0
PVYA,L,334.0,CH,756.0,-422.0
PVYA,L,343.0,FCY,762.0,-419.0
PVYA,L,269.0,WKW,816.0,-547.0
VOU,W,623.0,TR,88.0,535.0
VOU,W,461.0,HHCC,427.0,34.0
VOU,W,458.0,DB,447.0,11.0
VOU,L,458.5,PVYA,486.5,-28.0
VOU,L,411.5,SR,561.5,-150.0
VOU,L,466.0,WRST,576.0,-110.0
VOU,L,406.0,LDL,593.0,-187.0
VOU,L,411.0,VOUBC,599.0,-188.0
VOU,L,371.0,LL,632.0,-261.0
VOU,L,385.0,BAR,639.0,-254.0
VOU,L,435.0,RMR,645.0,-210.0
VOU,L,314.0,RSST,703.0,-389.0
VOU,L,340.0,HC,718.0,-378.0
VOU,L,332.5,FCY,753.5,-421.0
VOU,L,313.0,CH,761.0,-448.0
VOU,L,288.0,WKW,771.0,-483.0
DB,W,590.0,TR,97.0,493.0
DB,W,452.0,HHCC,440.0,12.0
DB,L,447.0,VOU,458.0,-11.0
DB,L,466.0,PVYA,480.0,-14.0
DB,L,457.0,WRST,552.0,-95.0
DB,L,387.0,SR,574.0,-187.0
DB,L,388.0,LDL,583.0,-195.0
