Home,W/L,Points,Visitor,Points,Diff
WKW,W,603.0,TR,33.0,570.0
WKW,W,563.0,WRST,78.0,485.0
WKW,W,542.0,LDL,100.0,442.0
WKW,W,529.0,DB,109.0,420.0
WKW,W,530.0,PVYA,112.0,418.0
WKW,W,513.0,RMR,129.0,384.0
WKW,W,509.0,HHCC,133.0,376.0
WKW,W,500.0,VOU,141.0,359.0
WKW,W,500.0,BAR,142.0,358.0
WKW,W,490.0,RSST,152.0,338.0
WKW,W,487.0,SR,153.0,334.0
WKW,W,485.0,VOUBC,157.0,328.0
WKW,W,480.0,LL,158.0,322.0
WKW,W,452.0,FCY,190.0,262.0
WKW,W,421.0,CH,221.0,200.0
WKW,W,357.0,HC,285.0,72.0
HC,W,605.0,TR,30.0,575.0
HC,W,521.0,WRST,121.0,400.0
HC,W,503.5,BAR,137.5,366.0
HC,W,497.0,DB,144.0,353.0
HC,W,493.0,LDL,149.0,344.0
HC,W,484.0,PVYA,158.0,326.0
HC,W,480.0,RMR,162.0,318.0
HC,W,476.0,VOU,166.0,310.0
HC,W,465.0,HHCC,176.0,289.0
HC,W,447.5,LL,194.5,253.0
HC,W,445.0,SR,197.0,248.0
HC,W,444.0,RSST,198.0,246.0
HC,W,444.0,VOUBC,198.0,246.0
HC,W,414.0,FCY,228.0,186.0
HC,W,398.5,CH,243.5,155.0
HC,L,285.0,WKW,357.0,-72.0
CH,W,600.0,TR,29.0,571.0
CH,W,489.0,WRST,152.0,337.0
CH,W,442.0,DB,195.0,247.0
CH,W,442.0,VOU,196.0,246.0
CH,W,428.5,PVYA,209.5,219.0
CH,W,428.0,HHCC,213.0,215.0
CH,W,412.0,RMR,230.0,182.0
CH,W,406.0,BAR,236.0,170.0
CH,W,405.0,LDL,237.0,168.0
CH,W,384.0,LL,253.0,131.0
CH,W,372.0,VOUBC,270.0,102.0
CH,W,369.0,SR,271.0,98.0
CH,W,353.0,RSST,288.0,65.0
CH,W,339.0,FCY,303.0,36.0
CH,L,243.5,HC,398.5,-155.0
CH,L,221.0,WKW,421.0,-200.0
FCY,W,609.0,TR,22.0,587.0
FCY,W,526.0,WRST,116.0,410.0
FCY,W,465.0,RMR,177.0,288.0
FCY,W,456.0,DB,186.0,270.0
FCY,W,452.0,HHCC,189.0,263.0
FCY,W,444.0,VOU,195.0,249.0
FCY,W,425.0,LDL,215.0,210.0
FCY,W,425.0,PVYA,216.0,209.0
FCY,W,409.0,BAR,233.0,176.0
FCY,W,391.0,SR,251.0,140.0
FCY,W,389.0,VOUBC,253.0,136.0
FCY,W,380.0,LL,260.0,120.0
FCY,W,362.0,RSST,280.0,82.0
FCY,L,303.0,CH,339.0,-36.0
FCY,L,228.0,HC,414.0,-186.0
FCY,L,190.0,WKW,452.0,-262.0
RSST,W,586.0,TR,37.0,549.0
RSST,W,470.0,WRST,171.0,299.0
RSST,W,434.0,PVYA,198.0,236.0
RSST,W,428.0,DB,210.0,218.0
RSST,W,416.0,VOU,216.0,200.0
RSST,W,409.0,RMR,229.0,180.0
RSST,W,390.0,HHCC,238.0,152.0
RSST,W,404.0,LDL,238.0,166.0
RSST,W,403.0,BAR,239.0,164.0
RSST,W,385.0,SR,257.0,128.0
RSST,W,354.0,LL,287.0,67.0
RSST,W,333.0,VOUBC,309.0,24.0
RSST,L,288.0,CH,353.0,-65.0
RSST,L,280.0,FCY,362.0,-82.0
RSST,L,198.0,HC,444.0,-246.0
RSST,L,152.0,WKW,490.0,-338.0
LL,W,572.0,TR,36.0,536.0
LL,W,422.0,WRST,216.0,206.0
LL,W,415.0,VOU,218.0,197.0
LL,W,396.0,DB,230.0,166.0
LL,W,402.0,RMR,238.0,164.0
LL,W,388.0,PVYA,247.0,141.0
LL,W,380.0,HHCC,258.0,122.0
LL,W,374.0,LDL,262.0,112.0
LL,W,362.0,BAR,273.0,89.0
LL,W,358.0,SR,279.0,79.0
LL,W,333.5,VOUBC,308.5,25.0
LL,L,287.0,RSST,354.0,-67.0
LL,L,260.0,FCY,380.0,-120.0
LL,L,253.0,CH,384.0,-131.0
LL,L,194.5,HC,447.5,-253.0
LL,L,158.0,WKW,480.0,-322.0
BAR,W,590.0,TR,34.0,556.0
BAR,W,434.0,WRST,207.0,227.0
BAR,W,390.0,DB,247.0,143.0
BAR,W,391.0,VOU,249.0,142.0
BAR,W,383.0,PVYA,259.0,124.0
BAR,W,383.0,RMR,259.0,124.0
BAR,W,351.0,HHCC,290.0,61.0
BAR,W,339.0,VOUBC,303.0,36.0
BAR,W,334.0,LDL,308.0,26.0
BAR,L,294.0,SR,348.0,-54.0
BAR,L,273.0,LL,362.0,-89.0
BAR,L,239.0,RSST,403.0,-164.0
BAR,L,236.0,CH,406.0,-170.0
BAR,L,233.0,FCY,409.0,-176.0
BAR,L,142.0,WKW,500.0,-358.0
BAR,L,137.5,HC,503.5,-366.0
SR,W,557.0,TR,44.0,513.0
SR,W,433.0,WRST,205.0,228.0
SR,W,379.0,DB,239.0,140.0
SR,W,371.0,VOU,268.0,103.0
SR,W,366.0,RMR,276.0,90.0
SR,W,349.0,PVYA,279.0,70.0
SR,W,348.0,BAR,294.0,54.0
SR,W,332.0,HHCC,305.0,27.0
SR,W,323.0,LDL,315.0,8.0
SR,L,292.0,VOUBC,340.0,-48.0
SR,L,279.0,LL,358.0,-79.0
SR,L,271.0,CH,369.0,-98.0
SR,L,257.0,RSST,385.0,-128.0
SR,L,251.0,FCY,391.0,-140.0
SR,L,197.0,HC,445.0,-248.0
SR,L,153.0,WKW,487.0,-334.0
VOUBC,W,532.0,TR,36.0,496.0
VOUBC,W,421.0,WRST,221.0,200.0
VOUBC,W,385.0,HHCC,254.0,131.0
VOUBC,W,360.0,DB,272.0,88.0
VOUBC,W,357.0,PVYA,282.0,75.0
VOUBC,W,348.0,VOU,284.0,64.0
VOUBC,W,340.0,SR,292.0,48.0
VOUBC,W,346.0,RMR,296.0,50.0
VOUBC,W,342.0,LDL,299.0,43.0
VOUBC,L,309.0,RSST,333.0,-24.0
VOUBC,L,308.5,LL,333.5,-25.0
VOUBC,L,303.0,BAR,339.0,-36.0
VOUBC,L,270.0,CH,372.0,-102.0
VOUBC,L,253.0,FCY,389.0,-136.0
VOUBC,L,198.0,HC,444.0,-246.0
VOUBC,L,157.0,WKW,485.0,-328.0
LDL,W,542.0,TR,59.0,483.0
LDL,W,412.0,WRST,226.0,186.0
LDL,W,382.0,PVYA,254.0,128.0
LDL,W,383.0,VOU,255.0,128.0
LDL,W,370.0,DB,257.0,113.0
LDL,W,345.0,HHCC,291.0,54.0
LDL,W,343.0,RMR,299.0,44.0
LDL,L,315.0,SR,323.0,-8.0
LDL,L,308.0,BAR,334.0,-26.0
LDL,L,299.0,VOUBC,342.0,-43.0
LDL,L,262.0,LL,374.0,-112.0
LDL,L,238.0,RSST,404.0,-166.0
LDL,L,237.0,CH,405.0,-168.0
LDL,L,215.0,FCY,425.0,-210.0
LDL,L,149.0,HC,493.0,-344.0
LDL,L,100.0,WKW,542.0,-442.0
RMR,W,563.0,TR,67.0,496.0
RMR,W,376.0,PVYA,262.0,114.0
RMR,W,379.0,WRST,262.0,117.0
RMR,W,355.0,VOU,283.0,72.0
RMR,W,333.0,DB,307.0,26.0
RMR,W,324.0,HHCC,314.0,10.0
RMR,L,299.0,LDL,343.0,-44.0
RMR,L,296.0,VOUBC,346.0,-50.0
RMR,L,276.0,SR,366.0,-90.0
RMR,L,259.0,BAR,383.0,-124.0
RMR,L,238.0,LL,402.0,-164.0
RMR,L,229.0,RSST,409.0,-180.0
RMR,L,230.0,CH,412.0,-182.0
RMR,L,177.0,FCY,465.0,-288.0
RMR,L,162.0,HC,480.0,-318.0
RMR,L,129.0,WKW,513.0,-384.0
DB,W,480.0,TR,83.0,397.0
DB,W,324.0,PVYA,286.0,38.0
DB,W,337.0,VOU,297.0,40.0
DB,W,333.0,WRST,298.0,35.0
DB,L,307.0,RMR,333.0,-26.0
DB,L,288.0,HHCC,334.0,-46.0
DB,L,272.0,VOUBC,360.0,-88.0
DB,L,257.0,LDL,370.0,-113.0
DB,L,239.0,SR,379.0,-140.0
DB,L,247.0,BAR,390.0,-143.0
DB,L,230.0,LL,396.0,-166.0
DB,L,210.0,RSST,428.0,-218.0
DB,L,195.0,CH,442.0,-247.0
DB,L,186.0,FCY,456.0,-270.0
DB,L,144.0,HC,497.0,-353.0
DB,L,109.0,WKW,529.0,-420.0
HHCC,W,506.0,TR,91.0,415.0
HHCC,W,362.0,WRST,277.0,85.0
HHCC,W,334.0,DB,288.0,46.0
HHCC,W,320.0,PVYA,308.0,12.0
HHCC,L,314.0,RMR,324.0,-10.0
HHCC,L,303.0,VOU,327.0,-24.0
HHCC,L,305.0,SR,332.0,-27.0
HHCC,L,291.0,LDL,345.0,-54.0
HHCC,L,290.0,BAR,351.0,-61.0
HHCC,L,258.0,LL,380.0,-122.0
HHCC,L,254.0,VOUBC,385.0,-131.0
HHCC,L,238.0,RSST,390.0,-152.0
HHCC,L,213.0,CH,428.0,-215.0
HHCC,L,189.0,FCY,452.0,-263.0
HHCC,L,176.0,HC,465.0,-289.0
HHCC,L,133.0,WKW,509.0,-376.0
VOU,W,512.0,TR,81.0,431.0
VOU,W,327.0,HHCC,303.0,24.0
VOU,W,337.0,WRST,304.0,33.0
VOU,W,319.0,PVYA,308.0,11.0
VOU,L,297.0,DB,337.0,-40.0
VOU,L,284.0,VOUBC,348.0,-64.0
VOU,L,283.0,RMR,355.0,-72.0
VOU,L,268.0,SR,371.0,-103.0
VOU,L,255.0,LDL,383.0,-128.0
VOU,L,249.0,BAR,391.0,-142.0
VOU,L,218.0,LL,415.0,-197.0
VOU,L,216.0,RSST,416.0,-200.0
VOU,L,196.0,CH,442.0,-246.0
VOU,L,195.0,FCY,444.0,-249.0
VOU,L,166.0,HC,476.0,-310.0
VOU,L,141.0,WKW,500.0,-359.0
PVYA,W,489.0,TR,106.0,383.0
PVYA,W,342.0,WRST,299.0,43.0
PVYA,L,308.0,VOU,319.0,-11.0
PVYA,L,308.0,HHCC,320.0,-12.0
PVYA,L,286.0,DB,324.0,-38.0
PVYA,L,279.0,SR,349.0,-70.0
PVYA,L,282.0,VOUBC,357.0,-75.0
PVYA,L,262.0,RMR,376.0,-114.0
PVYA,L,254.0,LDL,382.0,-128.0
PVYA,L,259.0,BAR,383.0,-124.0
PVYA,L,247.0,LL,388.0,-141.0
PVYA,L,216.0,FCY,425.0,-209.0
PVYA,L,209.5,CH,428.5,-219.0
PVYA,L,198.0,RSST,434.0,-236.0
PVYA,L,158.0,HC,484.0,-326.0
PVYA,L,112.0,WKW,530.0,-418.0
WRST,W,532.0,TR,94.0,438.0
WRST,L,298.0,DB,333.0,-35.0
