Home,W/L,Points,Visitor,Points,Diff
WKW,W,1027.0,TR,79.0,948.0
WKW,W,921.0,WRST,250.0,671.0
WKW,W,863.0,DB,277.0,586.0
WKW,W,878.0,PVYA,291.0,587.0
WKW,W,856.0,VOU,301.0,555.0
WKW,W,848.0,HHCC,311.0,537.0
WKW,W,861.0,RMR,320.0,541.0
WKW,W,839.0,LDL,324.0,515.0
WKW,W,808.0,SR,355.0,453.0
WKW,W,820.5,BAR,358.5,462.0
WKW,W,795.0,LL,366.0,429.0
WKW,W,784.0,VOUBC,389.0,395.0
WKW,W,774.0,RSST,401.0,373.0
WKW,W,722.5,FCY,459.5,263.0
WKW,W,708.0,CH,467.0,241.0
WKW,W,645.0,HC,533.0,112.0
HC,W,991.5,TR,87.5,904.0
HC,W,835.0,WRST,332.0,503.0
HC,W,803.5,DB,345.5,458.0
HC,W,806.0,PVYA,363.0,443.0
HC,W,787.5,VOU,371.5,416.0
HC,W,780.0,HHCC,380.0,400.0
HC,W,774.0,LDL,391.0,383.0
HC,W,766.5,BAR,405.5,361.0
HC,W,776.0,RMR,406.0,370.0
HC,W,741.0,SR,429.0,312.0
HC,W,732.0,VOUBC,435.0,297.0
HC,W,709.0,LL,453.0,256.0
HC,W,697.0,RSST,476.0,221.0
HC,W,650.5,CH,527.5,123.0
HC,W,646.5,FCY,529.5,117.0
HC,L,533.0,WKW,645.0,-112.0
FCY,W,1039.0,TR,73.0,966.0
FCY,W,889.0,WRST,291.0,598.0
FCY,W,846.0,RMR,327.0,519.0
FCY,W,837.5,DB,333.5,504.0
FCY,W,817.0,VOU,343.0,474.0
FCY,W,800.0,HHCC,365.0,435.0
FCY,W,790.0,PVYA,377.0,413.0
FCY,W,762.0,LDL,406.0,356.0
FCY,W,746.5,BAR,425.5,321.0
FCY,W,750.5,SR,431.5,319.0
FCY,W,700.0,LL,463.0,237.0
FCY,W,719.0,VOUBC,465.0,254.0
FCY,W,677.5,RSST,494.5,183.0
FCY,W,604.0,CH,573.0,31.0
FCY,L,529.5,HC,646.5,-117.0
FCY,L,459.5,WKW,722.5,-263.0
CH,W,996.0,TR,84.0,912.0
CH,W,816.0,WRST,350.0,466.0
CH,W,789.0,DB,358.0,431.0
CH,W,788.5,PVYA,363.5,425.0
CH,W,785.0,VOU,370.0,415.0
CH,W,763.0,HHCC,394.0,369.0
CH,W,745.0,RMR,427.0,318.0
CH,W,706.0,LDL,455.0,251.0
CH,W,684.5,SR,465.5,219.0
CH,W,695.0,LL,466.0,229.0
CH,W,707.5,BAR,467.5,240.0
CH,W,664.0,VOUBC,504.0,160.0
CH,W,628.0,RSST,543.0,85.0
CH,L,573.0,FCY,604.0,-31.0
CH,L,527.5,HC,650.5,-123.0
CH,L,467.0,WKW,708.0,-241.0
RSST,W,989.0,TR,90.0,899.0
RSST,W,793.0,WRST,367.0,426.0
RSST,W,772.0,PVYA,373.0,399.0
RSST,W,751.0,DB,376.0,375.0
RSST,W,739.0,VOU,393.0,346.0
RSST,W,718.5,HHCC,408.5,310.0
RSST,W,721.0,RMR,449.0,272.0
RSST,W,701.0,LDL,453.0,248.0
RSST,W,702.5,SR,464.5,238.0
RSST,W,691.0,BAR,487.0,204.0
RSST,W,621.0,LL,535.0,86.0
RSST,W,617.0,VOUBC,548.0,69.0
RSST,L,543.0,CH,628.0,-85.0
RSST,L,494.5,FCY,677.5,-183.0
RSST,L,476.0,HC,697.0,-221.0
RSST,L,401.0,WKW,774.0,-373.0
LL,W,951.0,TR,97.0,854.0
LL,W,707.0,DB,406.0,301.0
LL,W,742.0,WRST,408.0,334.0
LL,W,710.0,VOU,420.0,290.0
LL,W,706.0,PVYA,427.0,279.0
LL,W,687.5,HHCC,450.5,237.0
LL,W,657.0,LDL,481.0,176.0
LL,W,678.0,RMR,481.0,197.0
LL,W,640.0,SR,525.0,115.0
LL,W,610.0,BAR,538.0,72.0
LL,W,605.5,VOUBC,567.5,38.0
LL,L,535.0,RSST,621.0,-86.0
LL,L,466.0,CH,695.0,-229.0
LL,L,463.0,FCY,700.0,-237.0
LL,L,453.0,HC,709.0,-256.0
LL,L,366.0,WKW,795.0,-429.0
BAR,W,981.0,TR,98.0,883.0
BAR,W,749.0,WRST,429.0,320.0
BAR,W,709.0,DB,442.0,267.0
BAR,W,714.0,PVYA,448.0,266.0
BAR,W,702.0,VOU,452.0,250.0
BAR,W,672.0,HHCC,489.0,183.0
BAR,W,660.0,RMR,512.0,148.0
BAR,W,626.0,LDL,538.0,88.0
BAR,W,614.0,VOUBC,565.0,49.0
BAR,W,603.0,SR,571.0,32.0
